인덱스,누적_용량(Ah),절대값_용량(Ah),전류(A),전압(V),
118,0.015726002,0.015726002,0.479899292,1.206742554,
119,0.015859313,0.015859313,0.479899292,1.206742554,
120,0.015992625,0.015992625,0.47993042,1.207202148,
121,0.016125938,0.016125938,0.479899292,1.207355347,
122,0.016259248,0.016259248,0.47993042,1.207814941,
123,0.01639256,0.01639256,0.479899292,1.20796814,
124,0.016525872,0.016525872,0.479899292,1.208121338,
125,0.016659182,0.016659182,0.47993042,1.208580933,
126,0.016792451,0.016792451,0.479556885,1.208887329,
127,0.016925669,0.016925669,0.479588013,1.209193726,
128,0.017058888,0.017058888,0.479588013,1.209500122,
129,0.017192107,0.017192107,0.479556885,1.209806519,
130,0.017325325,0.017325325,0.479619141,1.210266113,
131,0.017458544,0.017458544,0.479556885,1.21057251,
132,0.017591764,0.017591764,0.479588013,1.211032104,
133,0.017724983,0.017724983,0.479619141,1.211338501,
134,0.017858201,0.017858201,0.479556885,1.212104492,
135,0.017991421,0.017991421,0.479588013,1.21225769,
136,0.018124641,0.018124641,0.479619141,1.212870483,
137,0.018257861,0.018257861,0.479588013,1.21317688,
138,0.01839108,0.01839108,0.479588013,1.213636475,
139,0.018524301,0.018524301,0.479588013,1.214249268,
140,0.018657522,0.018657522,0.479588013,1.214555664,
141,0.018790741,0.018790741,0.479619141,1.215168457,
142,0.018923961,0.018923961,0.479588013,1.215628052,
143,0.01905718,0.01905718,0.479556885,1.216087646,
144,0.0191904,0.0191904,0.479588013,1.216700439,
145,0.019323619,0.019323619,0.479588013,1.217313232,
146,0.01945684,0.01945684,0.479619141,1.218079224,
147,0.019590061,0.019590061,0.479588013,1.21838562,
148,0.01972328,0.01972328,0.479619141,1.219151611,
149,0.019856499,0.019856499,0.479588013,1.219458008,
150,0.019989719,0.019989719,0.479588013,1.220223999,
151,0.020122938,0.020122938,0.479619141,1.22098999,
152,0.020256157,0.020256157,0.479619141,1.221602783,
153,0.020389378,0.020389378,0.479588013,1.222215576,
154,0.020522598,0.020522598,0.479588013,1.223134766,
155,0.020655818,0.020655818,0.479588013,1.223900757,
156,0.020789036,0.020789036,0.479588013,1.22451355,
157,0.020922256,0.020922256,0.479619141,1.225585938,
158,0.021055477,0.021055477,0.479588013,1.226351929,
159,0.021188697,0.021188697,0.479619141,1.22711792,
160,0.021321916,0.021321916,0.479619141,1.227883911,
161,0.021455135,0.021455135,0.479556885,1.228649902,
162,0.021588414,0.021588414,0.479837036,1.22972229,
163,0.021721726,0.021721726,0.47993042,1.230794678,
164,0.021855036,0.021855036,0.479961548,1.231560669,
165,0.021988349,0.021988349,0.479961548,1.232633057,
166,0.022121661,0.022121661,0.47993042,1.233552246,
167,0.022254974,0.022254974,0.47993042,1.234471436,
168,0.022388286,0.022388286,0.47993042,1.235543823,
169,0.022521597,0.022521597,0.479899292,1.236616211,
170,0.022654909,0.022654909,0.47993042,1.237688599,
171,0.02278822,0.02278822,0.47993042,1.238914185,
172,0.022921532,0.022921532,0.47993042,1.239986572,
173,0.023054845,0.023054845,0.479961548,1.241212158,
174,0.023188157,0.023188157,0.479899292,1.242590942,
175,0.02332147,0.02332147,0.47993042,1.243816528,
176,0.023454784,0.023454784,0.479961548,1.244735718,
177,0.023588097,0.023588097,0.47993042,1.246114502,
178,0.023721408,0.023721408,0.47993042,1.247340088,
179,0.02385472,0.02385472,0.47993042,1.248718872,
180,0.023988032,0.023988032,0.479899292,1.249944458,
181,0.024121343,0.024121343,0.479899292,1.25147644,
182,0.024254655,0.024254655,0.47993042,1.252855225,
183,0.024387966,0.024387966,0.479899292,1.254234009,
184,0.024521278,0.024521278,0.479899292,1.255459595,
185,0.024654589,0.024654589,0.47993042,1.257144775,
186,0.024787901,0.024787901,0.47993042,1.25852356,
187,0.024921212,0.024921212,0.479899292,1.259902344,
188,0.025054524,0.025054524,0.479899292,1.261434326,
189,0.025187837,0.025187837,0.47993042,1.26281311,
190,0.025321149,0.025321149,0.47993042,1.264651489,
191,0.025454459,0.025454459,0.47993042,1.266183472,
